,College
6625,NIT-Jalandhar-B.Tech-Electrical Engineering-4 Years
6593,NIT-Nagpur-B.Tech-Mining Engineering-4 Years
7292,NIT-Rourkela-B.Tech-Food Process Engineering-4 Years
12834,NIT-Silchar-B.Tech-Mechanical Engineering-4 Years
8194,NIT-Silchar-B.Tech-Electronics and Instrumentation Engineering-4 Years
7421,NIT-Warangal-B.Tech-Chemical Engineering-4 Years
7023,NIT-Patna-B.Tech-Electrical Engineering-4 Years
6675,NIT-Jaipur-B.Tech-Mechanical Engineering-4 Years
7862,NIT-Meghalaya-B.Tech-Electronics and Communication Engineering-4 Years
6767,NIT-Agartala-B.Tech-Computer Science and Engineering-4 Years
